HITId,AnswerLabel,CORRECT,CORRECTED,INCORRECT,Input1ID,Input2ID,Input3ID,HITTypeId,FleissKappa
1,CORRECT,2,0,1,wd:Q11621,wdt:P2142,792910554,7QT,0.2363636363636367
2,CORRECT,3,0,0,wd:Q603545,wdt:P2142,4300000,7QT,0.2363636363636367
3,CORRECT,2,0,1,wd:Q16911843,wdt:P577,2014-01-18,7QT,0.2363636363636367
5,CORRECT,3,0,0,wd:Q1628022,wdt:P577,1951-01-01,7QT,0.2363636363636367
7,CORRECT,2,0,1,wd:Q171300,wdt:P2142,267000000,7QT,0.2363636363636367
11,CORRECT,2,0,1,wd:Q1339195,ddis:indirectSubclassOf,wd:Q27096213,7QT,0.2363636363636367
12,CORRECT,3,0,0,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,7QT,0.2363636363636367
13,CORRECT,2,0,1,wd:Q61928601,ddis:indirectSubclassOf,wd:Q95074,7QT,0.2363636363636367
15,CORRECT,3,0,0,wd:Q8275050,ddis:indirectSubclassOf,wd:Q47461344,7QT,0.2363636363636367
16,CORRECT,2,0,1,wd:Q17710986,ddis:indirectSubclassOf,wd:Q7725310,7QT,0.2363636363636367
18,CORRECT,3,0,0,wd:Q104649845,ddis:indirectSubclassOf,wd:Q43229,7QT,0.2363636363636367
22,CORRECTED,0,3,0,wd:Q1720855,wdt:P577,2010-01-01,8QT,0.04000000000000009
23,CORRECTED,0,3,0,wd:Q598752,wdt:P577,2011-01-01,8QT,0.04000000000000009
24,CORRECTED,0,3,0,wd:Q427386,wdt:P2142,176997168,8QT,0.04000000000000009
25,CORRECT,2,0,1,wd:Q321561,wdt:P577,1982-01-01,8QT,0.04000000000000009
26,CORRECTED,0,3,0,wd:Q1410031,wdt:P577,2011-01-01,8QT,0.04000000000000009
27,CORRECTED,0,3,0,wd:Q20001199,wdt:P2142,863756050,8QT,0.04000000000000009
28,CORRECT,3,0,0,wd:Q15055043,wdt:P2142,511200000,8QT,0.04000000000000009
29,CORRECTED,0,3,0,wd:Q639070,wdt:P161,Q5423258,8QT,0.04000000000000009
30,CORRECT,3,0,0,wd:Q23999890,wdt:P577,2015-01-05,8QT,0.04000000000000009
31,CORRECT,2,0,1,wd:Q841233,wdt:P2142,10696220,8QT,0.04000000000000009
32,CORRECTED,0,3,0,Q1168152,wdt:P161,wd:Q105825,8QT,0.04000000000000009
33,CORRECT,2,0,1,wd:Q19803136,wdt:P577,2015-06-27,8QT,0.04000000000000009
34,CORRECTED,0,3,0,Q908556,wdt:P161,wd:Q17386547,8QT,0.04000000000000009
35,CORRECTED,0,3,0,wd:Q202211,wdt:P495,wd:Q30,8QT,0.04000000000000009
36,CORRECTED,0,3,0,wd:Q28974159,wdt:P750,wd:Q907311,8QT,0.04000000000000009
37,CORRECT,2,0,1,wd:Q326914,wdt:P136,wd:Q8261,8QT,0.04000000000000009
38,CORRECTED,0,3,0,wd:Q885281,wdt:P161,wd:Q3087184,8QT,0.04000000000000009
39,CORRECT,2,0,1,wd:Q814781,wdt:.P344,wd:Q40087803,8QT,0.04000000000000009
40,CORRECTED,0,3,0,wd:Q6548158,wdt:P136,wd:Q33999,8QT,0.04000000000000009
41,CORRECTED,0,3,0,wd:Q1123629,wdt:P725,wd:Q211040,8QT,0.04000000000000009
42,CORRECTED,0,3,0,wd:Q1780602,wdt:P921,wd:Q295093,9QT,0.1991101223581758
43,CORRECTED,0,3,0,wd:Q610633,wdt:P2554,wd:Q1700810,9QT,0.1991101223581758
44,CORRECTED,0,3,0,wd:Q2188914,wdt:P161,Q17350908,9QT,0.1991101223581758
45,CORRECTED,0,3,0,wd:Q1032889,wdt:P58,wd:Q4762311,9QT,0.1991101223581758
46,CORRECTED,0,3,0,wd:Q209538,wdt:P3650,Q28732985,9QT,0.1991101223581758
47,CORRECTED,0,3,0,wd:Q31202708,wdt:P3092,wd:Q4805527,9QT,0.1991101223581758
48,CORRECT,2,0,1,wd:Q2576243,wdt:P364,wd:Q1860,9QT,0.1991101223581758
49,CORRECT,2,0,1,wd:Q4335275,wdt:P520,wd:Q52382294,9QT,0.1991101223581758
50,CORRECT,3,0,0,wd:Q931557,wdt:P750,wd:Q80948336,9QT,0.1991101223581758
51,CORRECT,3,0,0,wd:Q2235250,wdt:P161,wd:Q599673,9QT,0.1991101223581758
52,CORRECT,3,0,0,wd:Q696646,wdt:P3174,wd:Q1315917,9QT,0.1991101223581758
53,CORRECT,2,0,1,wd:Q6782400,wdt:P945,wd:Q17,9QT,0.1991101223581758
54,CORRECT,2,0,1,wd:Q6538,wdt:P119,wd:Q1792,9QT,0.1991101223581758
55,CORRECT,2,0,1,wd:Q9192,wdt:P276,wd:Q833,9QT,0.1991101223581758
56,CORRECT,2,0,1,wd:Q10623856,wdt:P20,wd:Q2096,9QT,0.1991101223581758
57,CORRECT,2,0,1,wd:Q223596,wdt:P1431,wd:Q457180,9QT,0.1991101223581758
59,CORRECT,2,0,1,wd:Q1893555,wdt:P272,wd:Q48784114,9QT,0.1991101223581758
60,CORRECT,2,0,1,wd:Q21060270,wdt:P27,wd:Q916,9QT,0.1991101223581758
61,CORRECT,2,0,1,wd:Q1288004,wdt:P1412,wd:Q13330,9QT,0.1991101223581758
